year	Number of sci_fi movies released	Number of ufo sightings	ratio of number of movies released to number of sightings that took place in that year 	Possibility of ufo_sighting being a dillusion after a sci-fi movie being released?
1948	4	10	2.5	No
1949	4	16	4.0	No
1942	5	5	1.0	Yes
1943	2	8	4.0	No
1941	5	3	0.6	Yes
1946	3	11	3.66666666667	No
1947	3	39	13.0	No
1944	3	12	4.0	No
1945	5	12	2.4	No
2010	34	2735	80.4411764706	No
1955	14	38	2.71428571429	No
1954	14	52	3.71428571429	No
1957	31	74	2.38709677419	No
1956	20	42	2.1	No
1951	15	22	1.46666666667	Yes
1950	7	28	4.0	No
1953	20	35	1.75	Yes
1952	8	52	6.5	No
1959	28	51	1.82142857143	Yes
1958	32	45	1.40625	Yes
1920	5	2	0.4	Yes
1922	1	1	1.0	Yes
1925	5	1	0.2	Yes
1929	3	1	0.333333333333	Yes
1933	6	1	0.166666666667	Yes
1931	3	2	0.666666666667	Yes
1930	3	2	0.666666666667	Yes
1937	2	2	1.0	Yes
1936	8	3	0.375	Yes
1935	6	1	0.166666666667	Yes
1934	5	1	0.2	Yes
1939	5	2	0.4	Yes
1986	32	195	6.09375	No
1987	28	219	7.82142857143	No
1984	33	188	5.69696969697	No
1985	28	205	7.32142857143	No
1982	34	191	5.61764705882	No
1983	35	150	4.28571428571	No
1980	22	236	10.7272727273	No
1981	22	156	7.09090909091	No
1988	27	224	8.2962962963	No
1989	35	248	7.08571428571	No
1991	26	233	8.96153846154	No
1990	33	253	7.66666666667	No
1993	24	326	13.5833333333	No
1992	21	258	12.2857142857	No
1995	32	1391	43.46875	No
1994	21	422	20.0952380952	No
1997	21	1325	63.0952380952	No
1996	21	936	44.5714285714	No
1999	24	3043	126.791666667	No
1998	22	1933	87.8636363636	No
1968	14	209	14.9285714286	No
1969	19	153	8.05263157895	No
1964	13	83	6.38461538462	No
1965	24	177	7.375	No
1966	19	186	9.78947368421	No
1967	16	194	12.125	No
1960	18	67	3.72222222222	No
1961	20	44	2.2	No
1962	15	59	3.93333333333	No
1963	14	79	5.64285714286	No
1979	33	245	7.42424242424	No
1978	19	337	17.7368421053	No
1977	26	260	10.0	No
1976	11	272	24.7272727273	No
1975	23	305	13.2608695652	No
1974	19	266	14.0	No
1973	17	220	12.9411764706	No
1972	19	172	9.05263157895	No
1971	14	122	8.71428571429	No
1970	15	142	9.46666666667	No
2002	36	3599	99.9722222222	No
2003	28	4333	154.75	No
2000	19	2992	157.473684211	No
2001	23	3428	149.043478261	No
2006	34	4035	118.676470588	No
2007	26	4518	173.769230769	No
2004	34	4650	136.764705882	No
2005	30	4393	146.433333333	No
2008	31	5080	163.870967742	No
2009	39	4735	121.41025641	No
