Year	No of UFO Sightings
1995	1394
1994	422
1993	326
1990	254
1979	246
1972	173
1987	228
1986	202
1957	74
1980	236
1992	259
1989	249
1996	936
1997	1338
1983	154
1965	177
1982	211
1971	122
1988	224
1974	266
1964	83
1991	233
1985	229
1978	338
1977	260
1967	194
1970	142
1975	305
1961	44
1963	79
1973	220
1998	1957
1981	159
1953	35
1969	153
1954	52
1984	236
1956	42
1966	186
1943	10
1958	45
1976	272
1968	209
1962	59
1947	39
1960	67
1955	38
1952	52
1999	3100
1949	16
1950	28
1860	1
1959	51
1948	10
2000	3049
1951	22
1945	12
1944	12
2001	3461
1936	3
1946	12
1930	4
1942	5
2002	3610
1910	3
1937	2
1929	1
2003	4342
1906	1
1935	2
1920	2
1865	1
1941	3
2004	4664
1916	1
1939	2
1931	2
2005	4410
1922	1
1933	1
1897	1
1925	1
1896	1
2006	4042
1899	1
1762	1
1880	1
2007	4522
1914	1
1400	1
1790	1
2008	5085
1934	1
1901	1
2009	4738
1864	1
1871	1
2010	2736
1905	1
1830	2
1900	1
2012	1
1938	1
